,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
0,Marketing Executive,Rohto-Mentholatum Việt Nam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,4 days ago,16 minutes ago,"Social Media Marketing, Digital Marketing, Manage Digital Marketing Campaign",https://glints.com/vn/opportunities/jobs/marketing-executive/5fc7f19c-cf81-4728-85ec-8a5904bc2155
1,DIRECTOR - AGENCY MANAGEMENT AND DEVELOPMENT,Chubb Life - Vietnam,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,9 days ago,2 days ago,"Kỹ Năng Đàm Phán, Đào tạo đội ngũ, Xây Dựng Đội Nhóm",https://glints.com/vn/opportunities/jobs/director-agency-management-and-development/e8dc208e-267a-40ce-8e87-4d39e4cf4538
2,Affiliate Executive,Công Ty Tnhh Anfin,"Quận 3, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Marketing,6 days ago,3 days ago,"KOC Influencer Marketing, Project Management, Documentation",https://glints.com/vn/opportunities/jobs/affiliate-executive/edb22bd1-1ffd-4f53-b92e-490bc90b1537
3,Data Scientist,,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,,,,"Thống Kê, Phân Tích, Toeic 600+, Tốt Nghiệp Đại Học, Quản lý nhóm",https://glints.com/vn/opportunities/jobs/source/spwd/data-scientist/8a636615-4b7b-4029-acb0-8f1db1c6a9e1
4,Data Analyst,,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,,,,"Reporting, Tableau, SQL, Python, Excel, Powerbi, Google Suite",https://glints.com/vn/opportunities/jobs/source/spwd/data-analyst/6375fe42-ac9c-4b93-b5c5-3ba414d863a4
5,Data Engineer,,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,,,,"Tài chính, Công Nghệ Thông Tin, Bigdata, Java, Khoa Học Máy Tính, Toeic 650+, Elasticsearch, Mongo DB, Thương Mại Điện Tử, Scala",https://glints.com/vn/opportunities/jobs/source/spwd/data-engineer/85c1d16c-5c0d-44ef-9db7-bce827d855c7
6,Data Entry/ Data Processing,Innovature Consulting Inc.,"Quận 4, Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Finance,28 days ago,6 days ago,"Data Entry, English, Data Management",https://glints.com/vn/opportunities/jobs/data-entry-data-processing/ce4bb929-ae9c-4907-9239-bd38754b20ac
7,Data Analyst,Vietcetera,"Quận 3, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,14 days ago,2 days ago,"Data Visualization, Dashboard Design, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analyst/68832716-242a-412f-8772-4010c4689dfc
8,Data Analyst / Data Research Engineer,Công Ty Tnhh Puzzle Studio,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Engineering,1 month ago,1 month ago,"Tableau, SQL, Python",https://glints.com/vn/opportunities/jobs/data-analyst-data-research-engineer/4e97aa88-b889-463b-9a57-203d332679b2
9,Data Analyst,Cốc Cốc,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Data Science,yesterday,yesterday,"SQL, Python Programming, Data Analysis, Statistics, Scala",https://glints.com/vn/opportunities/jobs/data-analyst/e8ead98a-e878-42c8-945b-42968ddf3c40
