,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
0,Chuyên viên tư vấn giáo dục ,Công ty cổ phần SMEPace Việt Nam ,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,26 days ago,26 days ago,"English, Microsoft Exel, Microsoft Word",https://glints.com/vn/opportunities/jobs/chuyen-vien-tu-van-giao-duc/441d8c85-7459-401d-b934-760df3c2efd3
1,[HN] NHÂN VIÊN TELESALE THU NHẬP TỚI 20TR KHÔNG YC KINH NGHIỆM,Công Ty Tnhh Thương Mại Và Đầu Tư Aci Group,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,1 month ago,1 month ago,"Telesales, Convincing Skills, Negotiation Skill, Sales, Good Communication Skills",https://glints.com/vn/opportunities/jobs/hn-nhan-vien-telesale-thu-nhap-toi-20tr-khong-yc-kinh-nghiem/49631485-53be-4b59-b185-432228fe27ed
2,Thực tập sinh Business Analyst (Mảng Marketing),Công Ty Toponseek,"Quận 4, Ho Chi Minh City, Vietnam",,,Thực Tập,Marketing,15 days ago,13 days ago,"Google Data Studio, Logical Thinking, Powerbi",https://glints.com/vn/opportunities/jobs/thuc-tap-sinh-business-analyst-mang-marketing/0172d78b-41d2-4d96-ab29-6b3a13c2cd64
3,Project Coordinator ,Gte Localize,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Language and Translation,5 months ago,3 days ago,"Problem Solving, Communication Skills, Attention To Detail, Multitasking, Time Management",https://glints.com/vn/opportunities/jobs/project-coordinator/9d868816-19f7-4564-a979-f220e9ec02ca
4,CONTENT MARKETING SPECIALIST,Gene Solutions,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,5 months ago,1 month ago,"Content Writing, Content Creation, Seo Content Writing, Content Marketing, Content Strategy",https://glints.com/vn/opportunities/jobs/content-marketing-specialist/98f96de5-c4b7-48bf-9258-c195f41167d7
5,COSTING SPECIALIST,La Vie Limited Liability Company,"Hải Phòng, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Operations Management, Project Costing, Target Costing",https://glints.com/vn/opportunities/jobs/costing-specialist/db1f794f-ec6a-433d-ab7e-c5e320e86148
6,Project Management Executive,The Color Club,"Quận Bình Thạnh, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Other,2 months ago,9 days ago,"English, Project Management, Communication",https://glints.com/vn/opportunities/jobs/project-management-executive/b0781455-d740-4ae3-be7f-cff0ff72e3bb
7,Sourcing Supervisor,Annam Group,"Quận 1, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Product Management,3 months ago,2 months ago,"	Education Relevant CollegeUnive, 	Respect the confidentiality of , 	3-5 years experience at the sam, 	Software skills Excel, Power po",https://glints.com/vn/opportunities/jobs/sourcing-supervisor/521a7d25-815e-437f-99f1-d9b022572340
8,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,1 month ago,"Giao Tiếp Tốt, Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư vấn bán hàng., thuyết phục và đàm phán",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/dab67d05-9a2e-4fbf-8991-c7b865d142c1
9,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Giao Tiếp Tốt, Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư vấn bán hàng., thuyết phục và đàm phán",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/bbbb8514-d0dc-4afb-8d5f-6430765f3224
10,Chuyên Viên Tư vấn Giáo dục ,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư Vấn Khách Hàng, Kỹ năng giao tiếp tốt",https://glints.com/vn/opportunities/jobs/chuyen-vien-tu-van-giao-duc/88990c67-5be8-4927-9fbb-745a9d08aeab
11,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,1 month ago,"Đam Mê Kinh Doanh, Kỹ năng giao tiếp, Telesales, Telephone Skills, Yêu Thích Kinh Doanh, Sales, Quản Trị Kinh Doanh, giao tiếp kinh doanh., Nhân Viên Kinh Doanh, Sales Marketing",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/d7321ecd-e40d-42ef-996e-bac14843c631
12,Senior Product Marketing Specialist (Consumer Laptop),"Asus Technology (vietnam) Co.,ltd","Quận 10, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,3 months ago,19 days ago,"Product Marketing Strategy, Go To Market planning, Consumer Insight, Brand Awareness, Branding",https://glints.com/vn/opportunities/jobs/senior-product-marketing-specialist-consumer-laptop/9f69db15-a744-4360-9cc2-5a8abd480e58
13,Nhân Viên Sale Online,F99,"Hà Nội, Vietnam",,,Việc làm fulltime,Business Development / Sales,9 days ago,7 days ago,"Teamwork, Nhanh Nhẹn, Sales",https://glints.com/vn/opportunities/jobs/nhan-vien-sale-online/d80cc704-1a32-4d0d-971a-3780c8035a9d
14,Senior Java (Backend) Developer ,Vui App,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,1 month ago,18 days ago,"Task Management, Teamwork, Time Management",https://glints.com/vn/opportunities/jobs/senior-java-backend-developer/50418096-bce5-4984-a259-f42d7235a15a
15,Head Of Category,GOODFOOD,"Thành phố Thủ Đức, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,3 months ago,3 months ago,"category development, Management, Category Management, Food and Beverage, Retail Category Management",https://glints.com/vn/opportunities/jobs/head-of-category/b13bee70-3aa3-4b8c-b3df-a2e5002d028c
16,Tư vấn viên, Công Ty Cổ Phần Alpha Apparel Group,"Quận 1, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,15 days ago,13 days ago,"Customer Service, Customer Relations, Sales",https://glints.com/vn/opportunities/jobs/tu-van-vien/748cbf3f-1cdc-4d32-aba7-aae203ae358c
17,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,3 months ago,2 months ago,"Đam Mê Kinh Doanh, Kỹ năng giao tiếp, Telesales, Telephone Skills, Yêu Thích Kinh Doanh, Sales, Quản Trị Kinh Doanh, giao tiếp kinh doanh., Nhân Viên Kinh Doanh, Sales Marketing",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/43fd8761-2e55-468e-8ee0-6d19f0e62190
18,CHUYÊN VIÊN QUẢN LÝ ĐỐI TÁC (E-COMMERCE),FPT Telecom,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Other,1 month ago,1 month ago,"Kinh Tế, Marketing, Tin học văn phòng",https://glints.com/vn/opportunities/jobs/chuyen-vien-quan-ly-doi-tac-e-commerce/8d809828-0987-4553-b8b9-36c2b8565995
19,Junior Accountant (Hybrid Remote),Virtual Internships,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Finance,4 months ago,5 days ago,"Accurate Software, Accounting, Financial Accounting",https://glints.com/vn/opportunities/jobs/junior-accountant-hybrid-remote/a98f6f2a-66f3-4d7a-8662-07e85ba1d1c4
20,IT Helpdesk,Manabie Vietnam,"Quận 4, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,6 months ago,10 days ago,"MDM, Inventory Recording, IT Network Security, IT Helpdesk Operation, Maintain and monitoring Systems, LDAP, Administration",https://glints.com/vn/opportunities/jobs/it-helpdesk/546368c8-7cfc-4325-a59a-2378556e4542
21,Nhân viên Kế toán tổng hợp - Accountant,JT Platform,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Finance,25 days ago,23 days ago,"Proactive And Fast Learner, Problem Solving, Careful, High responsibility",https://glints.com/vn/opportunities/jobs/nhan-vien-ke-toan-tong-hop-accountant/d45cdb29-a9e7-472e-9c1b-b2607e2545d5
22,LIS Administrator,Medical Diag Center,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,17 days ago,17 days ago,"IT Helpdesk Support, Technical Helpdesk, System Administration",https://glints.com/vn/opportunities/jobs/lis-administrator/599d94d1-a4d5-40ee-a78b-c9095c26a9ff
23,TUYỂN DỤNG - Nhân Viên CnB,Manpowergroup Việt Nam,"Quận 10, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Human Resource,2 months ago,4 days ago,"Microsoft Excel, Analytical Skills, Human Resources",https://glints.com/vn/opportunities/jobs/tuyen-dung-nhan-vien-cnb/b47d08f7-6728-4614-a5b3-d463af3b749c
24,Rust/Substrate Developer,Fetch Technology,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,10 days ago,10 days ago,"Interpersonal Skills, Communicate Fluently, highly prioritized skills",https://glints.com/vn/opportunities/jobs/rust-substrate-developer/e4115b88-af2b-4a96-ac29-a0bd9fdde67a
25,Rust/Substrate Developer ,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,10 days ago,10 days ago,"English, Good Verbal And Written Communication Skills, highly prioritized skills",https://glints.com/vn/opportunities/jobs/rust-substrate-developer/ec3079ea-9b0c-42f8-93ac-2e63c9d9a1f3
26,Rust/Substrate Developer,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,10 days ago,10 days ago,"Interpersonal Skills, Prioritize integrity, Fluent In English Both Oral And Written",https://glints.com/vn/opportunities/jobs/rust-substrate-developer/55b8f1f8-1087-402e-9b3c-6cfa61de91cc
27,Rust/Substrate Developer,Fetch Technology,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,10 days ago,10 days ago,"Can Communicate Well, highly prioritized skills, Excellent Interpersonal Skills",https://glints.com/vn/opportunities/jobs/rust-substrate-developer/4cc15f75-490d-4c75-bff8-8547880ef05f
28,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,1 month ago,1 month ago,"Kỹ năng giao tiếp, Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư Vấn Khách Hàng, thuyết phục và đàm phán",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/2d423ab9-1f71-41f5-80d7-f9a11a4daf15
29,Administrative Personnel staff,Công TNHH Bảo Hiểm Nhân Thọ Chubb Life Việt Nam,"Quận 1, Ho Chi Minh City, Vietnam",,,Việc làm part time,Human Resource,30 days ago,30 days ago,"Independent & Team Worker, good office informatics skills, Communication skill Office",https://glints.com/vn/opportunities/jobs/administrative-personnel-staff/4c679fc4-431a-4377-952f-544b20ff7ec8
30,Cộng tác viên Telesales,Sendo,"Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,6 months ago,5 days ago,"Good Voice, Telesales, Good Communication Skills",https://glints.com/vn/opportunities/jobs/cong-tac-vien-telesales/d81f11b5-9d6b-44ce-9dff-0ccd7fa19089
31,Remote (Full-time) Senior/Lead QA Engineer/ SDET,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,5 months ago,3 months ago,"Node.js, Typescript, Qa Testing, CICD",https://glints.com/vn/opportunities/jobs/remote-full-time-senior-lead-qa-engineer-sdet/86455092-f5ba-454c-9066-6fa416fbac0d
32,Senior Strategic Planner,Creatory,"Quận 4, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,5 months ago,1 month ago,"Project Planning, Marketing Strategy, Marketing Planning, Strategic Planning, Business Strategy",https://glints.com/vn/opportunities/jobs/senior-strategic-planner/5f753f23-af20-479f-8435-6bba9eb80e04
33,People Operations Generalist,Glints Vietnam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Human Resource,1 month ago,12 days ago,"HR Generalist, English, People Skills, Detailed Oriented, Project Management, C&B, Human Resources, Good Communication Skills",https://glints.com/vn/opportunities/jobs/people-operations-generalist/41a49240-d676-408b-b3b9-99f77ffbdb4b
34,NHÂN VIÊN KINH DOANH,Công ty TNHH Thương Mại Dịch Vụ Điện Tử Viễn Thông Uy Phát,"Quận 8, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,18 days ago,18 days ago,"Đam Mê Kinh Doanh, Tiếng anh cơ bản, Kỹ năng giao tiếp tốt",https://glints.com/vn/opportunities/jobs/nhan-vien-kinh-doanh/74ae9e58-d044-40a9-a7df-81ac186e896c
35,Digital Marketing Team Leader,Goat Empire,"Hà Nội, Vietnam",,,Việc làm fulltime,Marketing,2 months ago,2 months ago,"Digital Marketing, Digital Strategy, Digital Advertising",https://glints.com/vn/opportunities/jobs/digital-marketing-team-leader/ad82fee6-c7a1-4e51-a9b4-2ca2305cf5e7
36,Platform Operation Manager,Store,"Quận 1, Ho Chi Minh City, Vietnam",,5 - 10 năm kinh nghiệm,Việc làm fulltime,Marketing,4 months ago,4 months ago,"Quick Learner, Japanese, Appsflyer, Problem Solving, Management, Analytical Skills, Facebook Ads, Firebase, Data Oriented, Google Ads, Chinese, Strong Communication And Interpersonal Skills, Fluent In English Both Oral And Written",https://glints.com/vn/opportunities/jobs/platform-operation-manager/d006366e-310b-4ac6-af16-038516d9582c
37,Personal Assistant - Office  Admin Part Time or Intern,Monsieurluxe Brand,"Quận 7, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Thực Tập,Finance,18 days ago,18 days ago,"	Multi task, Responsible, Commit, Willing To Learn, Good presentation and communicat",https://glints.com/vn/opportunities/jobs/personal-assistant-office-admin-part-time-or-intern/95a689a3-fec4-4195-bfc0-1439f89ba26f
38,Brand Marketing Staff,Fado.vn,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,2 months ago,22 days ago,"Brand Management, Branding and Identity, Brand Marketing",https://glints.com/vn/opportunities/jobs/brand-marketing-staff/4fa343ab-15be-41a1-9898-d3cfd3adcc68
39,Client Solutions Manager - Performance,Tiktok,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,5 months ago,5 months ago,"Social Media Marketing, Digital Marketing, Analytical Skills, Marketing Campaign, Strategic Planning, Performance Management",https://glints.com/vn/opportunities/jobs/client-solutions-manager-performance/ea78be60-44a0-41ae-b7e4-d0c6906920da
40,Tư vấn khóa học,Công Ty Tnhh Giáo Dục Và Thương Mại Riki Việt Nam  ,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,4 months ago,4 months ago,"Giao Tiếp Tốt, Tư Vấn Thuyết Phục, Chủ Động Và Ham Học Hỏi, Kỹ Năng Xử Lý Tình Huống",https://glints.com/vn/opportunities/jobs/tu-van-khoa-hoc/e91d7267-4984-4f1c-9fbb-7ab4f91a646a
